time,Ft
1.71999999999999,0
1.72499999999999,0
1.72999999999999,0
1.73499999999998,0
1.73999999999998,0
1.74499999999998,0
1.74999999999998,0
1.75499999999998,0
1.75999999999998,0
1.76499999999998,0
1.76999999999998,0
1.77499999999998,0
1.77999999999998,0
1.78499999999998,0
1.78999999999998,0
1.79499999999998,0
1.79999999999998,0
1.80499999999998,0
1.80999999999998,0
1.81499999999998,0
1.81999999999998,0
1.82499999999998,0
1.82999999999998,0
1.83499999999998,0
1.83999999999998,0
1.84499999999998,0
1.84999999999998,0
1.85499999999998,0
1.85999999999998,0
1.86499999999998,0
1.86999999999998,0
1.87499999999998,0
1.87999999999998,0
1.88499999999998,0
1.88999999999998,0
1.89499999999998,0
1.89999999999998,0
1.90499999999998,0
1.90999999999998,0
1.91499999999998,0
1.91999999999998,0
1.92499999999998,0
1.92999999999998,0
1.93499999999998,0
1.93999999999998,0
1.94499999999998,0
1.94999999999998,0
1.95499999999998,0
1.95999999999998,0
1.96499999999998,0
1.96999999999998,0
1.97499999999998,0
1.97999999999998,0
1.98499999999998,0
1.98999999999998,0
1.99499999999998,0
1.99999999999998,0
2.00499999999998,0
2.00999999999998,0
2.01499999999998,0
2.01999999999998,0
2.02499999999998,0
2.02999999999998,0
2.03499999999998,0
2.03999999999998,0
2.04499999999998,0
2.04999999999998,0
2.05499999999998,0
2.05999999999998,0
2.06499999999998,0
2.06999999999998,0
2.07499999999998,0
2.07999999999998,0
2.08499999999998,0
2.08999999999998,0
2.09499999999998,0
2.09999999999998,0
2.10499999999998,0
2.10999999999998,0
2.11499999999998,0
2.11999999999998,0
2.12499999999998,0
2.12999999999998,0
2.13499999999998,0
2.13999999999998,0
2.14499999999998,0
2.14999999999998,0
2.15499999999998,0
2.15999999999998,0
2.16499999999998,0
2.16999999999998,0
2.17499999999998,0
2.17999999999998,0
2.18499999999998,0
2.18999999999998,0
2.19499999999998,0
2.19999999999998,0
2.20499999999998,0
2.20999999999998,0
2.21499999999997,0
2.21999999999997,0
2.22499999999997,0
2.22999999999997,0
2.23499999999997,0
2.23999999999997,0
2.24499999999997,0
2.24999999999997,0
2.25499999999997,0
2.25999999999997,0
2.26499999999997,0
2.26999999999997,0
2.27499999999997,0
2.27999999999997,0
2.28499999999997,0
2.28999999999997,0
2.29499999999997,0
2.29999999999997,0
2.30499999999997,0
2.30999999999997,0
2.31499999999997,0
2.31999999999997,0
2.32499999999997,0
2.32999999999997,0
2.33499999999997,0
2.33999999999997,0
2.34499999999997,0
2.34999999999997,0
2.35499999999997,0
2.35999999999997,0
2.36499999999997,0
2.36999999999997,0
2.37499999999997,0
2.37999999999997,0
2.38499999999997,0
2.38999999999997,0
2.39499999999997,0
2.39999999999997,0
2.40499999999997,0
2.40999999999997,0
2.41499999999997,0
2.41999999999997,0
2.42499999999997,0
2.42999999999997,0
2.43499999999997,0
2.43999999999997,0
2.44499999999997,0
2.44999999999997,0
2.45499999999997,0
2.45999999999997,0
2.46499999999997,0
2.46999999999997,0
2.47499999999997,0
2.47999999999997,0
2.48499999999997,0
2.48999999999997,0
2.49499999999997,0
2.49999999999997,0
2.50499999999997,0
2.50999999999997,0
2.51499999999997,0
2.51999999999997,0
2.52499999999997,0
2.52999999999997,0
2.53499999999997,0
2.53999999999997,0
2.54499999999997,0
2.54999999999997,0
2.55499999999997,0
2.55999999999997,0
2.56499999999997,0
2.56999999999997,0
2.57499999999997,0
2.57999999999997,0
2.58499999999997,0
2.58999999999997,0
2.59499999999997,0
2.59999999999997,0
2.60499999999997,0
2.60999999999997,0
2.61499999999997,0
2.61999999999997,0
2.62499999999997,0
2.62999999999997,0
2.63499999999997,0
2.63999999999997,0
2.64499999999997,0
2.64999999999997,0
2.65499999999997,0
2.65999999999997,0
2.66499999999997,0
2.66999999999997,0
2.67499999999997,0
2.67999999999997,0
2.68499999999996,0
2.68999999999996,0
2.69499999999996,0
2.69999999999996,0
2.70499999999996,0
2.70999999999996,0
2.71499999999996,0
2.71999999999996,0
2.72499999999996,0
2.72999999999996,0
2.73499999999996,0
2.73999999999996,0
2.74499999999996,0
2.74999999999996,0
2.75499999999996,0
2.75999999999996,0
2.76499999999996,0
2.76999999999996,0
2.77499999999996,0
2.77999999999996,0
2.78499999999996,0
2.78999999999996,0
2.79499999999996,0
2.79999999999996,0
2.80499999999996,0
2.80999999999996,0
2.81499999999996,0
2.81999999999996,0
2.82499999999996,0
2.82999999999996,0
2.83499999999996,0
2.83999999999996,0
2.84499999999996,0
2.84999999999996,0
2.85499999999996,0
2.85999999999996,0
2.86499999999996,0
2.86999999999996,0
2.87499999999996,0
2.87999999999996,0
2.88499999999996,0
2.88999999999996,0
2.89499999999996,0
2.89999999999996,0
2.90499999999996,0
2.90999999999996,0
2.91499999999996,0
2.91999999999996,0
2.92499999999996,0
2.92999999999996,0
2.93499999999996,0
2.93999999999996,0
2.94499999999996,0
2.94999999999996,0
2.95499999999996,0
2.95999999999996,0
2.96499999999996,0
2.96999999999996,0
2.97499999999996,0
2.97999999999996,0
2.98499999999996,0
2.98999999999996,0
2.99499999999996,0
2.99999999999996,0
3.00499999999996,0
3.00999999999996,0
3.01499999999996,0
3.01999999999996,0
3.02499999999996,0
3.02999999999996,0
3.03499999999996,0
3.03999999999996,0
3.04499999999996,0
3.04999999999996,0
3.05499999999996,0
3.05999999999996,0
3.06499999999996,0
3.06999999999996,0
3.07499999999996,0
3.07999999999996,0
3.08499999999996,0
3.08999999999996,0
3.09499999999996,0
3.09999999999996,0
3.10499999999996,0
3.10999999999996,0
3.11499999999996,0
3.11999999999996,0
3.12499999999996,0
3.12999999999996,0
3.13499999999996,0
3.13999999999996,0
3.14499999999996,0
3.14999999999996,0
3.15499999999995,0
3.15999999999995,0
3.16499999999995,0
3.16999999999995,0
3.17499999999995,0
3.17999999999995,0
3.18499999999995,0
3.18999999999995,0
3.19499999999995,0
3.19999999999995,0
3.20499999999995,0
3.20999999999995,0
3.21499999999995,0
3.21999999999995,0
3.22499999999995,0
3.22999999999995,0
3.23499999999995,0
3.23999999999995,0
3.24499999999995,0
3.24999999999995,0
3.25499999999995,0
3.25999999999995,0
3.26499999999995,0
3.26999999999995,0
3.27499999999995,0
3.27999999999995,0
3.28499999999995,0
3.28999999999995,0
3.29499999999995,0
3.29999999999995,0
3.30499999999995,0
3.30999999999995,0
3.31499999999995,0
3.31999999999995,0
3.32499999999995,0
3.32999999999995,0
3.33499999999995,0
3.33999999999995,0
3.34499999999995,0
3.34999999999995,0
3.35499999999995,0
3.35999999999995,0
3.36499999999995,0
3.36999999999995,0
3.37499999999995,0
3.37999999999995,0
3.38499999999995,0
3.38999999999995,0
3.39499999999995,0
3.39999999999995,0
3.40499999999995,0
3.40999999999995,0
3.41499999999995,0
3.41999999999995,0
3.42499999999995,0
3.42999999999995,0
3.43499999999995,0
3.43999999999995,0
3.44499999999995,0
3.44999999999995,0
3.45499999999995,0
3.45999999999995,0
3.46499999999995,0
3.46999999999995,0
3.47499999999995,0
3.47999999999995,0
3.48499999999995,0
3.48999999999995,0
3.49499999999995,0
3.49999999999995,0
3.50499999999995,0
3.50999999999995,0
3.51499999999995,0
3.51999999999995,0
3.52499999999995,0
3.52999999999995,0
3.53499999999995,0
3.53999999999995,0
3.54499999999995,0
3.54999999999995,0
3.55499999999995,0
3.55999999999995,0
3.56499999999995,0
3.56999999999995,0
3.57499999999995,0
3.57999999999995,0
3.58499999999995,0
3.58999999999995,0
3.59499999999995,0
3.59999999999995,0
3.60499999999995,0
3.60999999999995,0
3.61499999999995,0
3.61999999999995,0
3.62499999999994,0
3.62999999999994,0
3.63499999999994,0
3.63999999999994,0
3.64499999999994,0
3.64999999999994,0
3.65499999999994,0
3.65999999999994,0
3.66499999999994,0
3.66999999999994,0
3.67499999999994,0
3.67999999999994,0
3.68499999999994,0
3.68999999999994,0
3.69499999999994,0
3.69999999999994,0
3.70499999999994,0
3.70999999999994,0
3.71499999999994,0
3.71999999999994,0
3.72499999999994,0
3.72999999999994,0
3.73499999999994,0
3.73999999999994,0
3.74499999999994,0
3.74999999999994,0
3.75499999999994,0
3.75999999999994,0
3.76499999999994,0
3.76999999999994,0
3.77499999999994,0
3.77999999999994,0
3.78499999999994,0
3.78999999999994,0
3.79499999999994,0
3.79999999999994,0
3.80499999999994,0
3.80999999999994,0
3.81499999999994,0
3.81999999999994,0
3.82499999999994,0
3.82999999999994,0
3.83499999999994,0
3.83999999999994,0
3.84499999999994,0
3.84999999999994,0
3.85499999999994,0
3.85999999999994,0
3.86499999999994,0
3.86999999999994,0
3.87499999999994,0
3.87999999999994,0
3.88499999999994,0
3.88999999999994,0
3.89499999999994,0
3.89999999999994,0
3.90499999999994,0
3.90999999999994,0
3.91499999999994,0
3.91999999999994,0
3.92499999999994,0
3.92999999999994,0
3.93499999999994,0
3.93999999999994,0
3.94499999999994,0
3.94999999999994,0
3.95499999999994,0
3.95999999999994,0
3.96499999999994,0
3.96999999999994,0
3.97499999999994,0
3.97999999999994,0
3.98499999999994,0
3.98999999999994,0
3.99499999999994,0
3.99999999999994,0
4.00499999999994,0
4.00999999999994,0
4.01499999999994,0
4.01999999999994,0
4.02499999999994,0
4.02999999999994,0
4.03499999999994,0
4.03999999999994,0
4.04499999999994,0
4.04999999999994,0
4.05499999999994,0
4.05999999999994,0
4.06499999999994,0
4.06999999999994,0
4.07499999999994,0
4.07999999999994,0
4.08499999999994,0
4.08999999999994,0
4.09499999999993,0
4.09999999999993,0
4.10499999999993,0
4.10999999999993,0
4.11499999999993,0
4.11999999999993,0
4.12499999999993,0
4.12999999999993,0
4.13499999999993,0
4.13999999999993,0
4.14499999999993,0
4.14999999999993,0
4.15499999999993,0
4.15999999999993,0
4.16499999999993,0
4.16999999999993,0
4.17499999999993,0
4.17999999999993,0
4.18499999999993,0
4.18999999999993,0
4.19499999999993,0
4.19999999999993,0
4.20499999999993,0
4.20999999999993,0
4.21499999999993,0
4.21999999999993,0
4.22499999999993,0
4.22999999999993,0
4.23499999999993,0
4.23999999999993,0
4.24499999999993,0
4.24999999999993,0
4.25499999999993,0
4.25999999999993,0
4.26499999999993,0
4.26999999999993,0
4.27499999999993,0
4.27999999999993,0
4.28499999999993,0
4.28999999999993,0
4.29499999999993,0
4.29999999999993,0
4.30499999999993,0
4.30999999999993,0
4.31499999999993,0
4.31999999999993,0
4.32499999999993,0
4.32999999999993,0
4.33499999999993,0
4.33999999999993,0
4.34499999999993,0
4.34999999999993,0
4.35499999999993,0
4.35999999999993,0
4.36499999999993,0
4.36999999999993,0
4.37499999999993,0
4.37999999999993,0
4.38499999999993,0
4.38999999999993,0
4.39499999999993,0
4.39999999999993,0
4.40499999999993,0
4.40999999999993,0
4.41499999999993,0
4.41999999999993,0
4.42499999999993,0
4.42999999999993,0
4.43499999999993,0
4.43999999999993,0
4.44499999999993,0
4.44999999999993,0
4.45499999999993,0
4.45999999999993,0
4.46499999999993,0
4.46999999999993,0
4.47499999999993,0
4.47999999999993,0
4.48499999999993,0
4.48999999999993,0
4.49499999999993,0
4.49999999999993,0
4.50499999999993,0
4.50999999999993,0
4.51499999999993,0
4.51999999999993,0
4.52499999999993,0
4.52999999999993,0
4.53499999999993,0
4.53999999999993,0
4.54499999999993,0
4.54999999999993,0
4.55499999999993,0
4.55999999999993,0
4.56499999999992,0
4.56999999999992,0
4.57499999999992,0
4.57999999999992,0
4.58499999999992,0
4.58999999999992,0
4.59499999999992,0
4.59999999999992,0
4.60499999999992,0
4.60999999999992,0
4.61499999999992,0
4.61999999999992,0
4.62499999999992,0
4.62999999999992,0
4.63499999999992,0
4.63999999999992,0
4.64499999999992,0
4.64999999999992,0
4.65499999999992,0
4.65999999999992,0
4.66499999999992,0
4.66999999999992,0
4.67499999999992,0
4.67999999999992,0
4.68499999999992,0
4.68999999999992,0
4.69499999999992,0
4.69999999999992,0
4.70499999999992,0
4.70999999999992,0
4.71499999999992,0
4.71999999999992,0
4.72499999999992,0
4.72999999999992,0
4.73499999999992,0
4.73999999999992,0
4.74499999999992,0
4.74999999999992,0
4.75499999999992,0
4.75999999999992,0
4.76499999999992,0
4.76999999999992,0
4.77499999999992,0
4.77999999999992,0
4.78499999999992,0
4.78999999999992,0
4.79499999999992,0
4.79999999999992,0
4.80499999999992,0
4.80999999999992,0
4.81499999999992,0
4.81999999999992,0
4.82499999999992,0
4.82999999999992,0
4.83499999999992,0
4.83999999999992,0
4.84499999999992,0
4.84999999999992,0
4.85499999999992,0
4.85999999999992,0
4.86499999999992,0
4.86999999999992,0
4.87499999999992,0
4.87999999999992,0
4.88499999999992,0
4.88999999999992,0
4.89499999999992,0
4.89999999999992,0
4.90499999999992,0
4.90999999999992,0
4.91499999999992,0
4.91999999999992,0
4.92499999999992,0
4.92999999999992,0
4.93499999999992,0
4.93999999999992,0
4.94499999999992,0
4.94999999999992,0
4.95499999999992,0
4.95999999999992,0
4.96499999999992,0
4.96999999999992,0
4.97499999999992,0
4.97999999999992,0
4.98499999999992,0
4.98999999999992,0
4.99499999999992,0
4.99999999999992,0
5.00499999999992,0
